vid,cid,subject,text,votes,replies,is_reply,lebel1,lebel2,lebel3
wLE71i4JJiM,UgxlwfOI8grWb7wj3b14AaABAg,bio,Yes... Why was it cut mid-story!!!,0,,FALSE,irrelevant,irrelevant,irrelevant
CBezq1fFUEA,UgwkRjxiuvA8961R1sR4AaABAg,bio,I cannot be the only one in 2018 watching this for Biology???,1,1,FALSE,irrelevant,irrelevant,irrelevant
jqy0i1KXUO4,Ugi0IMpyEvNntngCoAEC.8KFSldn-6kc8KHhriuWnjX,bio,so it changes shape because of Van der Waals force?,0,,TRUE,comprehension,irrelevant,comprehension
sQK3Yr4Sc_k,Ugxm9T1D24qORXWoLZh4AaABAg,bio,thats all of the informations only ?,0,,FALSE,irrelevant,irrelevant,irrelevant
qgVFkRn8f10,UgxA5fNNVUXxt-Gix7F4AaABAg,bio,who else is here because of am exam,0,,FALSE,irrelevant,irrelevant,irrelevant
uDXH6Uu0ghc,UgxHGj_fcKG-mWBLHJ94AaABAg,bio,How do we cut the DNA?,0,1,FALSE,comprehension,knowledge,application
00jbG_cfGuQ,UgwRLQ2aYBIqLCz4V9l4AaABAg,bio,Does anyone know of a really good biology studying app game or anything like that?,0,,FALSE,irrelevant,irrelevant,irrelevant
iWaX97p6y9U,UgweLoJbSyhyS0DGGHt4AaABAg,bio,"Could you explain marsupial reproduction, either here or in scishow?",0,,FALSE,comprehension,knowledge,comprehension
vAR47-g6tlA,UgwjgiTiXl5fhCQHHGZ4AaABAg,bio,How did the enzymes not digest it?,0,1,FALSE,comprehension,irrelevant,comprehension
CAOnSbDSaOw,Ugyv0b9Ixw0L9winM7B4AaABAg.8xAWJMPaOLl9LLouKGd21F,bio,We call this sleep apnea as well?,2,,TRUE,knowledge,irrelevant,irrelevant
aTftyFboC_M,UgxMig5tgLWnqnst7jl4AaABAg,bio,"Darwin and every other important person: I made/discovered this for the goods of humanity 2018: frantically searching the internet right before a test god heckin' darn, why did it have to be this person?",0,,FALSE,irrelevant,irrelevant,irrelevant
RW46rQKWa-g,UgwxDSDevKmvC0rsabh4AaABAg,bio,anyone else here for biol1040 'study'?,0,,FALSE,irrelevant,irrelevant,irrelevant
sQK3Yr4Sc_k,UgzN9hMYy5b32tTLINB4AaABAg,bio,Why is my junior year of high school so frickin tough?,0,,FALSE,irrelevant,irrelevant,irrelevant
SIOQgY1tqrU,UgxVXyoGd9PEcZWXNvh4AaABAg.8GchykMxC5R9RTgQvyh-GO,bio,And the above comments are stoners!,4,,TRUE,irrelevant,irrelevant,irrelevant
8kK2zwjRV0M,Ugx7foXRRR5r4PoIJrZ4AaABAg,bio,So how does CRISPR relate to all this?,0,,FALSE,analysis,irrelevant,irrelevant
EyyDq19Mi3A,UgzF_o0YRGVSnac_nwx4AaABAg,bio,Is having a bedroom for your child cruelty for them?,0,,FALSE,irrelevant,irrelevant,irrelevant
ExaQ8shhkw8,UgjGCOcXMsSU8XgCoAEC.7zYo-IDs_kR7-fYI3zQpB8,bio,Or are you trying to tell me that the fruit developed from the STYLE?,4,,TRUE,irrelevant,irrelevant,irrelevant
QnQe0xW_JY4,UgzEldDaZ3Z1gK6iV0B4AaABAg,bio,If all organic compounds are carbon containing than ammonia (NH3)Isn't organic yet is a byproduct and food source for many bacteria and plants or am I wrong?,0,,FALSE,analysis,irrelevant,comprehension
_njf8jwEGRo,UgxikhNpCVO8trWxzKh4AaABAg,bio,Whats the Chaos book he keeps talking about?,0,,FALSE,irrelevant,irrelevant,irrelevant
CAOnSbDSaOw,Ugz53FMc5_ywDeQ94I94AaABAg,bio,Aren't neurotransmiteers just excitatory or inhibitory and that's all?,0,,FALSE,comprehension ,comprehension,irrelevant
7ABSjKS0hic,UgyYqPwG9mAcu5C704h4AaABAg,bio,What's your better theory on how it all happened?,0,,FALSE,analysis,irrelevant,irrelevant
8kK2zwjRV0M,UgxtDG69RZX0Vy1Dv8t4AaABAg,bio,my god can this dude stop going off on tangents?,0,,FALSE,irrelevant,irrelevant,irrelevant
oefAI2x2CQM,UgxiE8e8qEiQQ8B6Y0N4AaABAg.9H0am1tmYJSA-H8ZsVHULp,bio,Why do uh go college?,0,,TRUE,irrelevant,irrelevant,irrelevant
qCLmR9-YY7o,UgwNy74Xf8NTd99akUB4AaABAg,bio,1:36 why does he turn into an Irishman,1,,FALSE,irrelevant,irrelevant,irrelevant
cj8dDTHGJBY,Ugz5MID-rmdpPjArabt4AaABAg,bio,What are you doing looking at this!,1,,FALSE,irrelevant,irrelevant,irrelevant
P3GagfbA2vo,UgwgDD6Lrj6LrnN2McR4AaABAg.95YMAs2sE8E95ec1Di-8JC,bio,Evolution just Guesses at what might have happened !,0,,TRUE,irrelevant,irrelevant,irrelevant
P3GagfbA2vo,Ugwv7Sqi2qR6wVlz4l14AaABAg.95OyCLKoyqc95SHDoJUr3N,bio,And where is this magic Macro/Micro boundary?,3,,TRUE,comprehension,irrelevant,irrelevant
uqU9lmFztOU,UgxJBh5pr5aCLIBqay54AaABAg,bio,"Anybody know how conciousness, pain or pleasure are created by the brain?",1,1,FALSE,comprehension,irrelevant,analysis
L0k-enzoeOM,UgyFimvDy76_hikNFWR4AaABAg,bio,An easy trick to memorize the steps to Mitosis!,0,,FALSE,knowledge,irrelevant,application
oKNAzl-XN4I,UgzBR8rZ5-mIMC8pd_h4AaABAg,bio,Any written notes for these lectures?,0,,FALSE,irrelevant,irrelevant,irrelevant
aTftyFboC_M,UgyBMaImVSQIa6h5VXJ4AaABAg.8vGpeQFFguc8xUIcbTA9YF,bio,"By ""real science"" you mean creationist garbage?",0,,TRUE,irrelevant,irrelevant,irrelevant
ExaQ8shhkw8,UgighlCMZi87M3gCoAEC,bio,A tree cone is a sporophyte or gametophyte?,0,1,FALSE,knowledge,knowledge,knowledge
o_ZuWbX-CyE,UgiBJW85I8JFX3gCoAEC.8Gx132J19HB8P2xizLZry7,bio,But does that really mean the average will of the two of them is 50/50?,1,,TRUE, irrelevant,irrelevant,evaluation
SIOQgY1tqrU,UgzNOYM1DmB94Yn8O4d4AaABAg,bio,"We have been seeing a color for hundreds of thousands of years, at least, and we had NO word for it AT ALL???",0,,FALSE,irrelevant,irrelevant,irrelevant
SIOQgY1tqrU,UgxU0AZLXlMGWKDd8CV4AaABAg,bio,how apt to forget word salad during this language presentation lol!,0,,FALSE,irrelevant,irrelevant,irrelevant
2N3OPRodRvk,UgwQYOiR4XHv1Py6mEp4AaABAg,bio,Anyone else year 9/form 3?,1,,FALSE,irrelevant,irrelevant,irrelevant
qgVFkRn8f10,Ugyg7QtRNRVYYWHbZ9Z4AaABAg,bio,How about lactose free milk?,0,,FALSE,irrelevant,irrelevant,irrelevant
sQK3Yr4Sc_k,Ugw7pCZ2O77u47yR-WZ4AaABAg,bio,0:21 Developed 450 million years ago?,1,,FALSE,irrelevant,irrelevant,irrelevant
Y0Oa4Lp5fLE,Ugyo8oDg2B1peh8VCO14AaABAg,bio,Prof. Sapolsky is definitely a gifted speaker/teacher.. wish he would stop sometimes to ask questions to check if his students are capable of actual thinking beyond what theyre being told,4,,FALSE,irrelevant,irrelevant,irrelevant
x_vlxGFrZLY,Ugwho1Y8woaETEMDsbF4AaABAg,bio,if you promoter is on the 5' strand how will the RNA Polymerase bind to the 3'Strand and initiate transcription?,0,1,FALSE,comprehension,analysis,application
sQK3Yr4Sc_k,Ugz0SMtyhrH6ye0LGgZ4AaABAg.90KemA4RVnd90KepRoGC1i,bio,"Where Lord Vader failed, you shall rebound and rise, bringing my Empire to glory and order to the Galaxy!",7,,TRUE,irrelevant,irrelevant,irrelevant
8IlzKri08kk,Ugy_KY5GoDGjN4Iw6uh4AaABAg,bio,whos here but never got a chance to do cool science experiments because of the pandemic :(,0,,FALSE,irrelevant,irrelevant,irrelevant
nEnklxGAmak,UgyA_JoK5YcjIpxS1CR4AaABAg,bio,Why you always cut video at inproper moment at the end?,0,,FALSE,irrelevant,irrelevant,irrelevant
HaL1Q8f7M_o,UgwXlJ2DrSqj3vYneoV4AaABAg.9H3BRkP7phY9L9JG87915J,chem,is the other version of this course is good?,0,,TRUE,irrelevant,irrelevant,irrelevant
qlH4IhRyYs4,UgwuPrJShAD_4DvmrFJ4AaABAg,chem,Or did you come up with them yourself?,1,,FALSE,irrelevant,irrelevant,irrelevant
sTZFR02CUiE,UgyeZH5tiOBtWwuQ7nt4AaABAg,chem,"Can anyone answer this How many electrons are there for an element whose last electron has the following quantum number n=5, l=4, m=-2, s=-1/2?",0,,FALSE, application,knowledge,knowledge
2gdPI7CVmi4,UggO9ztsj22HBngCoAEC,chem,"I know that as T gets infinitely higher, the inverse log of the vapor pressure will get infinitely closer to the constant C, and that this constant is different for every liquid, but what does that actually mean?",0,,FALSE,comprehension,comprehension,analysis
ustfXi-mpkI,UgxIGUuD3d1BK_Xb-TF4AaABAg,chem,How is the value of the charge of -ve particle is equal to the value of charge of +ve particle?,0,,FALSE,comprehension,knowledge,comprehension
aGdQ-6OS1iI,UghTDUwIu41LdXgCoAEC,chem,you are explanation is awesome sir .whenever i got a doubt i go to your lectures.thank you so much sir,0,,FALSE,irrelevant,irrelevant,irrelevant
R0sw85RkKCY,UgwpmR5athCQpxWsnq14AaABAg,chem,What we need to do is start making crystal simple machines,0,,FALSE,irrelevant,irrelevant,irrelevant
V-RPM3e8Ws0,UgxGWIG1uCzl-SZK45h4AaABAg,chem,is there diffrent formulas for radial and angular nodes ?,1,2,FALSE,knowledge,irrelevant,knowledge
6cv--WcaMPQ,UgyIMeVK-qYypKmekUJ4AaABAg,chem,for vanadium why are the 3d electrons the same value(its in the n-1 row) according to your table the 3d electron should contribute 1 each to the S value  so zeff=23 - (.35+3*1+8*.85+10*1)=23 - 20.15=2.85 (for the 4s electron),9,4,FALSE,analysis,irrelevant,analysis
6BOTqvsYlNA,Ugyg-QAxY1Xl9Jlj5Et4AaABAg,chem,Are you a chem major?,1,,FALSE,irrelevant,irrelevant,irrelevant
Qg7pQ_CYaIQ,UgyPgN-qWpi-CX28ueB4AaABAg,chem,5:00 Oh you guys dont have something called 'cheating' in ur country?,1,2,FALSE,irrelevant,irrelevant,irrelevant
fFu7nNHFGiw,UgyPmM6zF7qGrodILup4AaABAg,chem,PP of NH3 is written as 10.0 atm where as in the problem it was given as 100.0 atm!,0,,FALSE,irrelevant,irrelevant,irrelevant
P34zaLtmsn0,Ugyk18LzHieSJzaCC_54AaABAg,chem,Why are they behaving these things like they do for history/literature?,10,2,FALSE,irrelevant,irrelevant,irrelevant
566Rn3XSwlg,UgwJAp0rP3BEWqLpd0B4AaABAg,chem,Do you have scholarships/discounts for students who want to have access in your test bank and other resources?,2,1,FALSE,irrelevant,irrelevant,irrelevant
RTcDkGFKkuw,Ugz83RfAJlzYeg14ET94AaABAg,chem,What's the different reactions between dilute and concentration aqueous solutions of NaCl?,0,,FALSE,analysis,analysis,analysis
Ub7eLn6ddvg,UggDyp5JX2Kp8ngCoAEC,chem,Could you help me please?,1,2,FALSE,irrelevant,irrelevant,irrelevant
iV-YnU6xGWU,Ugxaa-rwIyF6a6Eqp6t4AaABAg.A1W74r-pn10A1XOgiqwTcZ,chem,Glad for YOUR sub and Happy Studying!,0,,TRUE,irrelevant,irrelevant,irrelevant
bhPMi2IvZXs,UgwOE4cvzf_UuEsgNMV4AaABAg,chem,like the filter for dialysis that was used as an example at the end of lecture?,0,,FALSE,irrelevant,irrelevant,irrelevant
93QS5BhEN7s,Ugww9Dsp9-YLeyiyJWd4AaABAg,chem,"Hello, I would like to ask why some formulas for bp elevation and fp depression incorporate the van't Hoff factor while others don't?",0,1,FALSE, comprehension,analysis,analysis
WDgFCI_BYmo,Ugw_61Oaage7w2nkj3J4AaABAg,chem,Im new to the channel and WOW!,10,1,FALSE,irrelevant,irrelevant,irrelevant
hQk9xNU_2nU,UgyNrYIicIYtTQ_38S94AaABAg,chem,or is this a special thing for a few compounds?,0,1,FALSE,irrelevant,irrelevant,irrelevant
r20BiheYBSc,UgjcGmnjFsI-Y3gCoAEC,chem,Has anyone told you look like Liam Payn?,2,1,FALSE,irrelevant,irrelevant,irrelevant
ZjVicrRxFtM,Ugg9PxFN8kJ_dXgCoAEC,chem,"in this case,  do you have to maintain the room temp constant or even the chem reaction temp constant?",0,,FALSE,application,irrelevant,application
O192jrR80oo,UgywV-OOnnpx9bnw4794AaABAg.9Ulo7BHs43X9wRjQ12n1rh,chem,Did you set up an MO diagram for CO?,0,,TRUE,knowledge,irrelevant,application
k0pd4KhxvyQ,UgyPDik9q7kne7MMCg94AaABAg,chem,Should you pick any product to compare your reactants to?,1,1,FALSE,comprehension,irrelevant,irrelevant
h_qvUsadpjk,UgyZH_VxJcQa2AttwKd4AaABAg.A2OMHWo9KETA2QBBBWVxxm,chem,Glad you choose to spend time on the channel!,1,,TRUE,irrelevant,irrelevant,irrelevant
TChm3_OSBcI,UgxSppm1ENkbmTV8XzV4AaABAg,chem,Why or how did you know that Zn was -2 instead of S?,0,1,FALSE,comprehension,irrelevant,analysis
HiKLl5-F0PM,UgzWj_DzPR68CeDXgbZ4AaABAg.A0roU96ohuDA0ruQKoXOmF,chem,Glad the channel is helping - Happy Studying!,0,,TRUE,irrelevant,irrelevant,irrelevant
l6Bf5ktvM_g,UggAn4RU5JcvBngCoAEC,chem,Could you guys please upload the problem sets for 5.111 on the OCW webpage ?,0,,FALSE,knowledge,irrelevant,irrelevant
O192jrR80oo,Ugw3n_shOp2H3JiDqEp4AaABAg,chem,Doesn't PH3 have bond angle close to 90 degree as it has unhybridized pure p orbitals?,23,5,FALSE,comprehension,comprehension,analysis
f7RRqxv2pzg,UgyoHTwb522rpiLbkil4AaABAg,chem,Couldnt electron that is closer to the nucleus repel the other one and not only shield the positive attraction?,1,1,FALSE,knowledge,irrelevant,analysis
#NAME?,UgzJgXRjq-CZ5VbTgV54AaABAg,chem,Able to understand what is HUP after nine years great job!!!!!!!!!!!!!!!!!,0,,FALSE,irrelevant,irrelevant,irrelevant
2vfQtwYkDtg,UgwZACt5HjKFhgvMI0F4AaABAg.9wE1K8cqqmJ9wJPriNKMGs,chem,"Right......... so if i hypothetically show up to school tomorrow, I'm not gonna get bullied?",0,,TRUE,irrelevant,irrelevant,irrelevant
lLdPSLNxDqA,UgzSnj7X-CjvMkb2M-F4AaABAg.9FqAw-Qk1RM9FqR-j08NBI,chem,Best wishes on your studies!,3,,TRUE,irrelevant,irrelevant,irrelevant
Qg7pQ_CYaIQ,UgzfuJxLPvsDbDKhof54AaABAg.9ntciTaymjJ9wl3J_Fw4AA,chem,How may times did you?,0,,TRUE,irrelevant,irrelevant,irrelevant
_GB7IhyQt9A,UgxidqXpNtxhrpQ4HSt4AaABAg,chem,I was wondering if you only have to be aware of the america system if you're in America?,0,,FALSE,irrelevant,irrelevant,irrelevant
iV-YnU6xGWU,Ugw26pgJlpi6YZskkhF4AaABAg,chem,Do the molecular orbitals e.g of hydrogen or any other atomic orbitals like p orbitals are going to change their signs when they come to overlap simultaneously ?,0,3,FALSE,knowledge,irrelevant,analysis
4NZV0ZvDm5c,UgxEGMNkQCTitqwLtOp4AaABAg,chem,All is oke but diamond has very high m.p you say that Crystal has short  m.p,1,,FALSE,irrelevant,irrelevant,irrelevant
Ey25vULQ6YM,UgwG_sh9aowBsnNgtE54AaABAg,chem,other aspects like social skills and shit?,0,,FALSE,irrelevant,irrelevant,irrelevant
ustfXi-mpkI,UgwS9Wi9qXv-GTea4Th4AaABAg,chem,The fluent connections of how atomic matter were discovered in this lecture were portrayed amazingly,8,1,FALSE,irrelevant,irrelevant,irrelevant
ZjVicrRxFtM,UgyYjFdkYO7zGihrvVh4AaABAg,chem,Won't it be awkward for the lecturer?,0,,FALSE,irrelevant,irrelevant,irrelevant
BBbuj0XpaiQ,Ugztbhb8DASHlZPBIvZ4AaABAg,chem,I like khan academy's video on these topic much better and easier to follow.i find this one not interesting and easy,1,,FALSE,irrelevant,irrelevant,irrelevant
O192jrR80oo,UgwQnZhWEifDt7X90314AaABAg,chem,"Can u please explain why sigma 2p orbital energy varies with atomic number,and how did u compare energy between sigma 2p  and  pi 2p",4,,FALSE,comprehension,analysis,analysis
5BqL8x2J0_Y,UgygyL3rwRYwAEzgWIZ4AaABAg,chem,How would you compare the solubility of aluminum phosphate in water Vs different aqueous solutions (sodium acetate) (NH4NO3),0,,FALSE,analysis,analysis,analysis
3Y9TaxwcQGs,UgysL8X6eGVqYW5mQUt4AaABAg,chem,You're the Professor Leonard version of Chemistry!,2,2,FALSE,irrelevant,irrelevant,irrelevant
x4goeoHDkWk,Ugw-xy1YaQUyOA1bL594AaABAg,chem,Thank you for such clear and concise videos!,1,1,FALSE,irrelevant,irrelevant,irrelevant
YkYeYhXUeEE,Ugzqicj-u2FGyYbu3Wl4AaABAg,chem,Are the practice questions available for this course?,4,,FALSE,irrelevant,irrelevant,knowledge
M4uohHYQ0Yk,Ugw5RWpDFyD8oaP5PWl4AaABAg,chem,How to minimize ion pair effect in a solution?,0,,FALSE,knowledge,irrelevant,application
HiKLl5-F0PM,Ugz-nwfKNUZxASH28SJ4AaABAg,chem,would the exponent be a fraction?,1,1,FALSE,irrelevant,irrelevant,irrelevant
NgkGD6w2hMY,UgzHERmiaWkds5jZp0d4AaABAg,chem,All three changes: 1- Withdrawing or adding to the interaction 2-Change the volume or pressure 3- Changing the reaction temperature It will change with the concentrations of substances for the equilibrium reaction Why is it only temperature that changes the value of the equilibrium constant?,0,,FALSE,comprehension,analysis,analysis
ViIDHZb9iE8,UgzqDK_azoC-zoeICLh4AaABAg,chem,Best lecture... Love from india..,0,,FALSE,irrelevant,irrelevant,irrelevant
j6I3EXiKB2A,UgyckNfBO3nA4_eFsel4AaABAg.8eQJFEG-uIk8eQXN37PqJe,math,the rate of change of y will itself be constantly changing!,3,,TRUE,irrelevant,irrelevant,irrelevant
QLHJl2_aM5Q,Ugyk45xw56_AIsZziX54AaABAg,math,I was wondering why the integrals for the have to be evaluated to 1?,0,,FALSE,comprehension,comprehension,knowledge
